HuMAP3_ID,ComplexConfidence,Uniprot_ACCs,genenames
huMAP3_00224.1,1,Q495B1 Q96LX8,ANKDD1A ZNF597
huMAP3_00225.1,1,Q9BQI3 Q14154,EIF2AK1 DELE1
huMAP3_00226.1,1,Q9NXK8 Q9BRX2,FBXL12 PELO
huMAP3_00227.1,1,Q05682 P27816 Q9BZZ5,CALD1 MAP4 API5
huMAP3_00228.1,1,P0CG23 P0CG24 P10075,ZNF853 ZNF883 GLI4
huMAP3_00229.1,1,O60216 Q14683 Q8N3U4 Q8NDV3 Q8WVM7 Q92995 Q96FF9 Q9NTI5 O95072 Q7Z5K2 Q9UQE7,RAD21 SMC1A STAG2 SMC1B STAG1 USP13 CDCA5 PDS5B REC8 WAPL SMC3
huMAP3_00230.1,1,P35268 Q9Y3U8,RPL22 RPL36
huMAP3_00231.1,1,Q8IWP9 Q9BWL3 Q2LD37,CCDC28A C1orf43 BLTP1
huMAP3_00232.1,1,Q8NCA5 O15523,FAM98A DDX3Y
huMAP3_00233.1,1,Q8IUD6 O75398 Q5W0U4,RNF135 DEAF1 BSPRY
huMAP3_00234.1,1,Q5T890 Q9UPW5 Q9H8M1 P11801 Q16690 Q6NT89 Q86Y97 Q6P3R8 P02792 Q9UQ07,ERCC6L2 AGTPBP1 COQ10B PSKH1 DUSP5 TRNP1 KMT5C NEK5 FTL MOK
huMAP3_00235.1,1,O75044 Q7Z6B7,SRGAP2 SRGAP1
huMAP3_00236.1,1,Q2NL98 Q8N9N5,VMAC BANP
huMAP3_00237.1,1,O15060 Q9H6Q4,ZBTB39 CIAO3
huMAP3_00238.1,1,Q06432 Q9H3U5 Q86V21,CACNG1 MFSD1 AACS
huMAP3_00239.1,1,Q9H6Y5 O95049,MAGIX TJP3
huMAP3_00240.1,1,Q8N4J0 P08235 Q96B70,CARNMT1 NR3C2 LENG9
huMAP3_00241.1,1,P27797 P43235,CALR CTSK
huMAP3_00242.1,1,Q8NCQ5 Q9NQE9 Q8N4T0,FBXO15 HINT3 CPA6
huMAP3_00243.1,1,O14910 Q02410 Q8WV92 P78352,LIN7A APBA1 MITD1 DLG4
huMAP3_00244.1,1,P21583 Q9NRX4 Q9Y2I2 O75208 P0DJD7 P36915 P49247,KITLG PHPT1 NTNG1 COQ9 PGA4 GNL1 RPIA
huMAP3_00245.1,1,P31153 Q00266,MAT2A MAT1A
huMAP3_00246.1,1,Q96AQ1 Q8TCF1,CCDC74A ZFAND1
huMAP3_00247.1,1,Q9H693 Q2M3V2 Q53LP3 Q96F45 Q9H7S9 P61962 Q9H2X6,C16orf95 SOWAHA SOWAHC ZNF503 ZNF703 DCAF7 HIPK2
huMAP3_00248.1,1,O75074 P22083,LRP3 FUT4
huMAP3_00249.1,1,O75955 P84996,FLOT1 GNAS
huMAP3_00250.1,1,P0C2L3 Q5T6V5,FAM163B QNG1
huMAP3_00251.1,1,Q8IWE2 P61019 Q8WUD1,FAM114A1 RAB2A RAB2B
huMAP3_00252.1,1,A1L0T0 Q9HCG7,ILVBL GBA2
huMAP3_00253.1,1,O43399 Q96J77 Q06547 Q06546,TPD52L2 TPD52L3 GABPB1 GABPA
huMAP3_00254.1,1,O60393 Q5T5M9,NOBOX CCNJ
huMAP3_00255.1,1,Q96I27 O95749,ZNF625 GGPS1
huMAP3_00256.1,1,Q8TAS1 Q9HBH7,UHMK1 BEX1
